,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MES,VENTAS FISCALES 2024,VENTAS FISCALES 2023,VENTAS FISCALES 2022,VENTAS FISCALES 2021,VENTAS FISCALES 2020,VENTAS FISCALES 2019,VENTAS FISCALES 2018,VENTAS FISCALES 2017,VENTAS SIN IVA 2024,VENTAS SIN IVA 2023,VENTAS SIN IVA 2022,VENTAS SIN IVA 2021,VENTAS SIN IVA 2020,VENTAS SIN IVA 2019,VENTAS SIN IVA 2018,VENTAS SIN IVA 2017,GASTOS 2024,GASTOS 2023,GASTOS 2022,GASTOS 2021,GASTOS 2020,GASTOS  2019,GASTOS  2018,GASTOS 2017,UTILIDAD 2024,UTILIDAD 2023,UTILIDAD 2022,UTILIDAD 2021,UTILIDAD 2020,UTILIDAD 2019 ,UTILIDAD 2018 ,UTILIDAD  2017
,DICIEMBRE,10979454,8377765,10009636,8072834,11129725,3580427,8230584,7106144,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL ,103760306,104916288,104783678,118247162,83661325.83,74569850,74193174,81126868,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MES,GASTOS  2024,GASTOS  2023,GASTOS  2022,GASTOS  2021,GASTOS  2020,GASTOS  2019,GASTOS  2018,GASTOS 2017,,,,,,,,,,,,,,,,,,,,,,,,
,ENERO ,9947041,10152266,8340075.44,9031235,11183760,8192569,7055307,10452832,,,,,,,,,,,,,,,,,,,,,,,,
,FEBRERO ,13136716,13410419,9969598,12420337,13337610,8084721,8975623,8843670,,,,,,,,,,,,,,,,,,,,,,,,
,MARZO,11222287.82,16907266,11403558,13591375,10865138,8025783,9788704,8621927,,,,,,,,,,,,,,,,,,,,,,,,
,ABRIL ,13880419,12557124,11689725,17060981,8424882,11161681,9211395,6162384,,,,,,,,,,,,,,,,,,,,,,,,
,MAYO,12971414,15171959,11286631,11744516.633333333,10909925,10164486,8014528,10155182,,,,,,,,,,,,,,,,,,,,,,,,
,JUNIO,10918657,10729339,12304971,12797380,12990071,8433671,7385244,14240736,,,,,,,,,,,,,,,,,,,,,,,,
,JULIO,11152404,10792468,12624706,13357892,11530572,8752682,7676064,10531315,,,,,,,,,,,,,,,,,,,,,,,,
,AGOSTO,11530628,10381456,0,12441445,11013798,10250005,9472439,10083753,,,,,,,,,,,,,,,,,,,,,,,,
,SEPTIEMBRE,14014468,14685440,10423141,14262071,11098718,12341540.75,16476675,13656658,,,,,,,,,,,,,,,,,,,,,,,,
,OCTUBRE,14110605,22974686,10630364,11384483,14559398,13788360.75,10699836,12463405,,,,,,,,,,,,,,,,,,,,,,,,
,NOVIEMBRE,12084858.1,13205069,13793441,9460840,15548745,12146150.75,12696365,13179987,,,,,,,,,,,,,,,,,,,,,,,,
,DICIEMBRE,14343828,19716602,14685347,10271878,12796951,9554095.75,8852048,27294325,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL ,149313325.92,170684094,127151557.44,147824433.63333333,144259568,120895746,116304228,145686174,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MES,UTILIDAD 2024,UTILIDAD 2023,UTILIDAD 2022,UTILIDAD 2021,UTILIDAD 2020,UTILIDAD 2019,UTILIDAD 2018,UTILIDAD  2017,,,,,,,,,,,,,,,,,,,,,,,,
,ENERO ,-2557551,-5273606,-1150802.4400000004,352800,3245117,5038468,18954229,-3272885,,,,,,,,,,,,,,,,,,,,,,,,
,FEBRERO ,-4416049,-4384642,569556,-2094164,3129086,3625618,-1253685,3095521,,,,,,,,,,,,,,,,,,,,,,,,
,MARZO,1058174.1799999997,6335281,4047103,-1395325,6248249,3176999,-4103720,423035,,,,,,,,,,,,,,,,,,,,,,,,
,ABRIL ,3726717,7020895,2584980,-3490481,-8194868,3741891,-1756692,5188303,,,,,,,,,,,,,,,,,,,,,,,,
,MAYO,-877419,-1211535,891255,767352.3666666672,-9105820,2085937,-222899,5204853,,,,,,,,,,,,,,,,,,,,,,,,
,JUNIO,-2507233,4502965,-2193718,4495738,7982004,492012,822721,-5170532,,,,,,,,,,,,,,,,,,,,,,,,
,JULIO,-4849520,110279,-1077718,-2527014,2646214,-2317677,-2214002,9983538,,,,,,,,,,,,,,,,,,,,,,,,
,AGOSTO,3643220,5253701,14262195,299710,197274,-1439362,8804469,5208815,,,,,,,,,,,,,,,,,,,,,,,,
,SEPTIEMBRE,472368,9178135,2471319,2707680,3359239,-4658595.75,-10440744,92670,,,,,,,,,,,,,,,,,,,,,,,,
,OCTUBRE,2023717,-5922538,1920529,6059683,2559631.829999998,-5944643.75,4755101,-3000416,,,,,,,,,,,,,,,,,,,,,,,,
,NOVIEMBRE,1111784.9000000004,538076,8536,7472128,-1605167,904815.25,-380592,-3733117,,,,,,,,,,,,,,,,,,,,,,,,
,DICIEMBRE,91736,-2377914,-1237785,1238971,4004674,4829226.25,5224186,48325460,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL ,-3080054.92,13769097,21095449.56,13887078.366666667,14465633.829999998,9534688,18188372,62345245,,,,,,,,,,,,,,,,,,,,,,,,
