,,2020-01-01,2020-01-01,2020-01-01,2020-01-01,2020-02-01,2020-02-01,2020-02-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,2020-04-01,2020-04-01,2020-04-01,2020-04-01,2020-05-01,2020-05-01,2020-05-01,2020-05-01,2020-06-01,2020-06-01,2020-06-01,2020-07-01,2020-07-01,2020-07-01,2020-07-01,2020-08-01,2020-08-01,2020-08-01,2020-08-01,2020-09-01,2020-09-01,2020-09-01,2020-09-01,2020-10-01,2020-10-01,2020-10-01,2020-10-01,2020-11-01,2020-11-01,2020-11-01,2020-11-01,2020-12-01,2020-12-01,2020-12-01,2020-12-01
Cuenta,Cuenta,Mov. 02/01/2020 a 31/01/2020,Mov. 02/01/2020 a 31/01/2020,Saldos a 31/01/2020,Saldos a 31/01/2020,Mov. 01/02/2020 a 28/02/2020,Mov. 01/02/2020 a 28/02/2020,Saldos a 28/02/2020,Mov. 01/03/2020 a 31/03/2020,Mov. 01/03/2020 a 31/03/2020,Saldos a 31/03/2020,Saldos a 31/03/2020,Mov. 01/04/2020 a 30/04/2020,Mov. 01/04/2020 a 30/04/2020,Saldos a 30/04/2020,Saldos a 30/04/2020,Mov. 02/05/2020 a 31/05/2020,Mov. 02/05/2020 a 31/05/2020,Saldos a 31/01/2020,Saldos a 31/01/2020,Mov. 01/06/2020 a 30/06/2020,Mov. 01/06/2020 a 30/06/2020,Saldos a 28/06/2020,Mov. 01/07/2020 a 31/07/2020,Mov. 01/07/2020 a 31/07/2020,Saldos a 31/07/2020,Saldos a 31/07/2020,Mov. 01/08/2020 a 30/08/2020,Mov. 01/08/2020 a 30/08/2020,Saldos a 30/08/2020,Saldos a 30/08/2020,Mov. 01/09/2020 a 31/09/2020,Mov. 01/09/2020 a 31/09/2020,Saldos a 31/09/2020,Saldos a 31/09/2020,Mov. 01/10/2020 a 31/10/2020,Mov. 01/10/2020 a 31/10/2020,Saldos a 31/10/2020,Saldos a 31/10/2020,Mov. 01/11/2020 a 30/11/2020,Mov. 01/11/2020 a 30/11/2020,Saldos a 30/11/2020,Saldos a 30/11/2020,Mov. 01/12/2020 a 30/12/2020,Mov. 01/12/2020 a 30/12/2020,Saldos a 31/12/2020,Saldos a 31/12/2020
Cód.,Nombre,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,
512010,Construcciones y edificaciones,1000000,0,1000000,,1000000,0,2000000,1000000,0,3000000,,1000000,0,4000000,,1000000,0,5000000,,1000000,0,6000000,1000000,0,7000000,,1000000,0,8000000,,1000000,0,9000000,,1000000,0,10000000,,1000000,0,11000000,,1000000,0,12000000,
512015,Maquinaria y equipo ,0,0,,,0,,,0,0,,,0,,,,,0,,,0,,,0,0,,,0,,,,0,,,,1116500,,1116500,,33300,,1149800,,134520,,1284320,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5125,AFILIACIONES Y CONTRIBUCIONES,130000,,130000,,0,,130000,,,130000,,0,,130000,,,,130000,,,,130000,,,130000,,0,,130000,,0,,130000,,0,,130000,,0,,130000,,0,,130000,
512510,Afiliaciones ,130000,0,130000,,0,,130000,0,,130000,,0,,130000,,0,0,130000,,,,130000,0,,130000,,0,,130000,,0,,130000,,0,,130000,,0,,130000,,0,,130000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5130,Seguros,636650,0,636650,,,0,636650,,0,636650,,,0,636650,,,0,636650,,,0,636650,,0,636650,,,0,636650,,,0,636650,,,0,636650,,,0,636650,,,0,636650,
513095,Otros,636650,0,636650,,0,0,636650,0,0,636650,,0,0,636650,,0,0,636650,,0,0,636650,0,0,636650,,0,0,636650,,0,0,636650,,0,0,636650,,0,0,636650,,0,0,636650,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5135,Servicios,2295686,0,2295686,,2052254,0,4347940,1581294,0,5929234,,536847,0,6466081,,920025,0,7386106,,1266455,0,8652561,1458360,0,10110921,,1063327,0,11174248,,1148861,0,12323109,,3382709,0,15705818,,1713768,0,17419586,,1969094,0,19388680,
513505,Aseo y vigilancia,30000,0,30000,,90000,0,120000,0,0,120000,,0,0,120000,,0,0,120000,,0,0,120000,0,0,120000,,0,0,120000,,25000,0,145000,,0,0,145000,,0,0,145000,,,0,145000,
513510,Temporales,1455000,0,1455000,,1820000,0,3275000,1210000,0,4485000,,0,0,4485000,,578000,0,5063000,,665000,0,5728000,885000,0,6613000,,529000,0,7142000,,662500,0,7804500,,2080000,0,9884500,,1284000,0,11168500,,1567000,0,12735500,
513520,,,,,,,,,,,,,0,,,,,,,,,,,,,,,50000,,50000,,,,50000,,,,50000,,,,50000,,,,50000,
513525,Acueducto y alcantarillado,60930,0,60930,,54760,0,115690,0,0,115690,,116430,0,232120,,60710,0,292830,,72750,0,365580,72740,0,438320,,96770,0,535090,,95720,0,630810,,71670,0,702480,,71670,0,774150,,59630,0,833780,
513530,Energía eléctrica,95209,0,95209,,0,0,95209,213096,0,308305,,100070,0,408375,,48190,0,456565,,113030,0,569595,152664,0,722259,,132848,0,855107,,96883,0,951990,,102755,0,1054745,,106425,0,1161170,,111563,0,1272733,
513535,Teléfono fijo y moviles,539247,0,539247,,87494,0,626741,132698,0,759439,,320347,0,1079786,,225125,0,1304911,,415675,0,1720586,347956,0,2068542,,254709,0,2323251,,163758,0,2487009,,363284,0,2850293,,251673,0,3101966,,230901,0,3332867,
513540,Correo portes y telegrama,0,0,,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,0,0,,,0,0,,,,0,,,0,0,,,0,0,,,0,0,,
513595,Otros ,0,0,,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,0,0,,,0,0,,,90000,0,90000,,,0,90000,,0,0,90000,,0,0,90000,
513550,"Transportes, fletes y acarreos",115300,0,115300,,0,0,115300,25500,0,140800,,0,0,140800,,8000,0,148800,,0,0,148800,0,0,148800,,0,0,148800,,15000,0,163800,,765000,0,928800,,,0,928800,,0,0,928800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5140,Gastos legales,10100,0,10100,,,0,10100,0,0,10100,,,0,10100,,6100,0,16200,,,0,16200,99400,0,115600,,6100,0,121700,,6100,0,127800,,,0,127800,,1580100,0,1707900,,12200,0,1720100,
514005,Notariales,0,0,,,0,0,,0,0,,,0,0,,,,0,,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
514010,Registro mercantil,0,0,,,0,0,,0,0,,,0,0,,,6100,0,6100,,0,0,6100,99400,0,105500,,6100,0,111600,,6100,0,117700,,0,0,117700,,1580100,0,1697800,,12200,0,1710000,
514015,Trámites y licencias,10100,0,10100,,0,0,10100,0,0,10100,,0,0,10100,,0,0,10100,,0,0,10100,0,0,10100,,0,0,10100,,0,0,10100,,0,0,10100,,0,0,10100,,0,0,10100,
514095,Otros,0,0,,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,0,0,,,0,0,,,0,0,,,,0,,,0,0,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
